Name,H_Share,Price_HKD,A_Share,Price_CNH,Premium (%)
FIRST TRACTOR,00038.HK,8.7,601038.SH,14.18,-44.47%
SICHUAN EXPRESS,00107.HK,5.42,601107.SH,6.26,-21.64%
TSINGTAO BREW,00168.HK,50.45,600600.SH,62.1,-26.48%
JIANGSU EXPRESS,00177.HK,9.93,600377.SH,12,-25.11%
JINGCHENG MAC,00187.HK,4.04,600860.SH,11.67,-68.67%
MIDEA GROUP,00300.HK,87.15,000333.SZ,79.65,-0.98%
COMEC,00317.HK,13.1,600685.SH,27.49,-56.87%
MAANSHAN IRON,00323.HK,2.5,600808.SH,4.17,-45.74%
SHANGHAI PECHEM,00338.HK,1.32,600688.SH,2.65,-54.92%
ANGANG STEEL,00347.HK,1.89,000898.SZ,2.5,-31.58%
JIANGXI COPPER,00358.HK,37,600362.SH,42.08,-20.43%
SINOPEC CORP,00386.HK,4.53,600028.SH,5.92,-30.75%
CHINA RAILWAY,00390.HK,3.83,601390.SH,5.4,-35.81%
GUANGSHEN RAIL,00525.HK,2.2,601333.SH,3.06,-34.93%
SHENZHENEXPRESS,00548.HK,7.18,600548.SH,8.92,-27.15%
NANJING PANDA,00553.HK,4.33,600775.SH,10.95,-64.21%
ZCZL,00564.HK,20.2,601717.SH,23.92,-23.57%
SHANDONG MOLONG,00568.HK,3.17,002490.SZ,6.39,-55.10%
BEIJING N STAR,00588.HK,0.79,601588.SH,1.81,-60.50%
SINOTRANS,00598.HK,4.98,601598.SH,6.18,-27.07%
CHINA EAST AIR,00670.HK,5.17,600115.SH,5.65,-17.19%
SHANDONG XINHUA,00719.HK,6.68,000756.SZ,15.66,-61.40%
CHINA TELECOM,00728.HK,5.55,601728.SH,6.56,-23.43%
AIR CHINA,00753.HK,6.92,601111.SH,8.76,-28.51%
ZTE,00763.HK,27.72,000063.SZ,37.19,-32.54%
XINHUA WINSHARE,00811.HK,10.27,601811.SH,13.46,-30.95%
PETROCHINA,00857.HK,8.13,601857.SH,9.89,-25.60%
BAIYUNSHAN PH,00874.HK,18.44,600332.SH,25.82,-35.37%
CNOOC,00883.HK,20.56,600938.SH,28.11,-33.81%
DONGJIANG ENV,00895.HK,2.29,002672.SZ,4.84,-57.18%
HUANENG POWER,00902.HK,6.15,600011.SH,7.93,-29.81%
CONCH CEMENT,00914.HK,22.96,600585.SH,22.19,-6.36%
CHINA LONGYUAN,00916.HK,6.73,001289.SZ,15.26,-60.09%
HISENSE HA,00921.HK,23.86,000921.SZ,25.05,-13.80%
CCB,00939.HK,7.61,601939.SH,9.22,-25.30%
CHINA MOBILE,00941.HK,82.85,600941.SH,100.99,-25.76%
CHINA SUNTIEN,00956.HK,4.03,600956.SH,7.36,-50.45%
SMIC,00981.HK,68.9,688981.SH,119.9,-47.99%
DATANG POWER,00991.HK,2.32,601991.SH,3.61,-41.84%
ANHUIEXPRESSWAY,00995.HK,12.9,600012.SH,14.53,-19.65%
CITIC BANK,00998.HK,6.91,601998.SH,7.47,-16.28%
SINOPEC SSC,01033.HK,0.69,600871.SH,2.14,-70.82%
CHONGQING IRON,01053.HK,1.17,601005.SH,1.47,-27.97%
CHINA SOUTH AIR,01055.HK,5.63,600029.SH,7.54,-32.42%
ZHEJIANG SHIBAO,01057.HK,4.73,002703.SZ,18.56,-76.94%
TIANJIN CAPITAL,01065.HK,4.24,600874.SH,6.01,-36.15%
HUADIAN POWER,01071.HK,4.2,600027.SH,5.23,-27.32%
DONGFANG ELEC,01072.HK,25.94,600875.SH,24.7,-4.96%
CHINA SHENHUA,01088.HK,39.26,601088.SH,41.15,-13.66%
TRIUMPH NEW EN,01108.HK,3.8,600876.SH,9.76,-64.76%
COSCO SHIP ENGY,01138.HK,9.92,600026.SH,11.86,-24.30%
ZOOMLION,01157.HK,7.53,000157.SZ,8.44,-19.26%
YANKUANG ENERGY,01171.HK,9.8,600188.SH,13.45,-34.06%
CHINA RAIL CONS,01186.HK,5.43,601186.SH,7.79,-36.92%
BYD COMPANY,01211.HK,93.1,002594.SZ,94.81,-11.13%
ABC,01288.HK,5.6,601288.SH,7.66,-33.84%
DYNAGREEN ENV,01330.HK,5.31,601330.SH,6.78,-29.12%
NCI,01336.HK,55.6,601336.SH,72.71,-30.80%
PICC GROUP,01339.HK,6.89,601319.SH,9.19,-32.15%
HUA HONG SEMI,01347.HK,70.3,688347.SH,105.2,-39.52%
FUDANZHANGJIANG,01349.HK,2.82,688505.SH,8.21,-68.91%
CC SECURITIES,01375.HK,2.2,601375.SH,4.32,-53.91%
SHANGHAI FUDAN,01385.HK,42.76,688385.SH,63.52,-39.08%
ICBC,01398.HK,6.16,601398.SH,7.92,-29.61%
GLMS SEC,01456.HK,5.2,601456.SH,10.33,-54.44%
LIVZON PHARMA,01513.HK,29.28,000513.SZ,34.66,-23.55%
RS MACALLINE,01528.HK,1.28,601828.SH,2.83,-59.07%
MCC,01618.HK,1.91,601618.SH,3,-42.38%
DZUG,01635.HK,3.37,600635.SH,6.44,-52.64%
PSBC,01658.HK,5.29,601658.SH,5.45,-12.16%
CRRC,01766.HK,6.05,601766.SH,6.9,-20.65%
GANFENGLITHIUM,01772.HK,56.15,002460.SZ,66.36,-23.42%
GF SEC,01776.HK,18.26,000776.SZ,21.91,-24.58%
SD GOLD,01787.HK,37.86,600547.SH,40.71,-15.84%
CHINA COMM CONS,01800.HK,5.13,601800.SH,8.32,-44.20%
CHENMING PAPER,01812.HK,0.73,000488.SZ,2.13,-68.98%
CGN POWER,01816.HK,2.95,003816.SZ,3.82,-30.11%
CHUNLI MEDICAL,01858.HK,15.09,688236.SH,23.8,-42.62%
JUNSHI BIO,01877.HK,23.48,688180.SH,34.9,-39.11%
CTG DUTY-FREE,01880.HK,78.25,601888.SH,88.91,-20.35%
CHINA COAL,01898.HK,10.4,601898.SH,12.93,-27.21%
COSCO SHIP HOLD,01919.HK,13.91,601919.SH,15.4,-18.26%
BCQ,01963.HK,7.95,601963.SH,10.91,-34.05%
MINSHENG BANK,01988.HK,3.95,600016.SH,3.83,-6.66%
BBMG,02009.HK,0.74,601992.SH,1.65,-59.41%
CZBANK,02016.HK,2.54,601916.SH,3.04,-24.38%
CIMC,02039.HK,9.24,000039.SZ,9.42,-11.23%
CHALIECO,02068.HK,2.68,601068.SH,5.62,-56.84%
FOSUN PHARMA,02196.HK,20.74,600196.SH,27.09,-30.71%
CHINA VANKE,02202.HK,3.46,000002.SZ,4.79,-34.63%
GOLDWIND,02208.HK,13.48,002202.SZ,17.05,-28.45%
ANDRE JUICE,02218.HK,13.79,605198.SH,36.45,-65.76%
GAC GROUP,02238.HK,4.03,601238.SH,8.18,-55.41%
PING AN,02318.HK,65.95,601318.SH,69.49,-14.11%
GWMOTOR,02333.HK,14.44,601633.SH,22.09,-40.84%
WEICHAI POWER,02338.HK,19.4,000338.SZ,17.69,-0.75%
WUXI APPTEC,02359.HK,99.05,603259.SH,90.62,-1.08%
SINOHYTEC,02402.HK,22.48,688339.SH,27.5,-26.02%
LOPAL TECH,02465.HK,14.51,603906.SH,20.61,-36.29%
CHALCO,02600.HK,11.2,601600.SH,10.97,-7.60%
CPIC,02601.HK,35.98,601601.SH,41.77,-22.04%
SH PHARMA,02607.HK,11.76,601607.SH,17.93,-40.64%
GTHT,02611.HK,17.1,601211.SH,20.82,-25.67%
CHINA LIFE,02628.HK,28.4,601628.SH,46.53,-44.76%
SH ELECTRIC,02727.HK,3.97,601727.SH,8.4,-57.23%
COSCO SHIP DEV,02866.HK,1.08,601866.SH,2.53,-61.37%
LIAONING PORT,02880.HK,0.81,601880.SH,1.61,-54.47%
CHINA OILFIELD,02883.HK,6.98,601808.SH,13.74,-54.03%
ZIJIN MINING,02899.HK,34.84,601899.SH,32.09,-1.74%
BANKCOMM,03328.HK,6.42,601328.SH,7.44,-21.91%
TIGERMED,03347.HK,40.64,300347.SZ,51.03,-27.93%
QHD PORT,03369.HK,2.68,601326.SH,3.54,-31.49%
FUYAO GLASS,03606.HK,67.2,600660.SH,62.68,-2.97%
CQRC BANK,03618.HK,6.1,601077.SH,6.42,-14.01%
HOLLY FUTURES,03678.HK,3.31,001236.SZ,10.45,-71.33%
CATL,03750.HK,515,300750.SZ,378.1,23.27%
PHARMARON,03759.HK,21.04,300759.SZ,28.81,-33.91%
BQD,03866.HK,3.92,002948.SZ,4.59,-22.71%
TIMES ELECTRIC,03898.HK,38.74,688187.SH,49.96,-29.82%
CICC,03908.HK,20.4,601995.SH,35.53,-48.04%
DFZQ,03958.HK,6.91,600958.SH,10.73,-41.72%
CM BANK,03968.HK,51.45,600036.SH,41.91,11.10%
CHINA CRSC,03969.HK,3.38,688009.SH,5.44,-43.77%
BANK OF CHINA,03988.HK,4.43,601988.SH,5.7,-29.66%
CMOC,03993.HK,19.15,603993.SH,18.55,-6.57%
CH ENERGY ENG,03996.HK,1.08,601868.SH,2.37,-58.76%
CITIC SEC,06030.HK,27.84,600030.SH,28.63,-12.00%
CSC,06066.HK,12.92,601066.SH,26.67,-56.16%
CMSC,06099.HK,14.17,600999.SH,16.69,-23.16%
JOINN,06127.HK,22.18,603127.SH,35.85,-44.01%
BEONE MEDICINES,06160.HK,184,688235.SH,276.83,-39.85%
EB SECURITIES,06178.HK,8.98,601788.SH,17.34,-53.13%
CANSINOBIO,06185.HK,36.48,688185.SH,63.47,-47.98%
BANKOFZHENGZHOU,06196.HK,1.16,002936.SZ,1.94,-45.89%
QINGDAO PORT,06198.HK,7.13,601298.SH,8.66,-25.49%
HX BLDG MAT,06655.HK,17.8,600801.SH,23.93,-32.68%
JLMAG,06680.HK,18.68,300748.SZ,33.67,-49.79%
HAIER SMARTHOME,06690.HK,25.88,600690.SH,27.21,-13.92%
SWHY,06806.HK,3.07,000166.SZ,5.24,-46.98%
CEB BANK,06818.HK,3.72,601818.SH,3.51,-4.08%
ASYMCHEM,06821.HK,76.6,002821.SZ,95.54,-27.44%
HAOHAI BIOTEC,06826.HK,25.54,688366.SH,44.25,-47.77%
FLAT GLASS,06865.HK,9.84,601865.SH,15.46,-42.40%
YOFC,06869.HK,54.6,601869.SH,126.07,-60.81%
CGS,06881.HK,10.28,601881.SH,15.72,-40.82%
HTSC,06886.HK,19.49,601688.SH,23.2,-23.97%
TIANQI LITHIUM,09696.HK,53,002466.SZ,55.78,-14.01%
INNOCARE,09969.HK,13.13,688428.SH,22.16,-46.38%
HEPALINK,09989.HK,5.19,002399.SZ,11.76,-60.06%
REMEGEN,09995.HK,77.35,688331.SH,80.1,-12.61%
