company,A,H
FIRST TRACTOR,601038.SS,0038.HK
SICHUAN EXPRESS,601107.SS,0107.HK
TSINGTAO BREW,600600.SS,0168.HK
JIANGSU EXPRESS,600377.SS,0177.HK
JINGCHENG MAC,600860.SS,0187.HK
MIDEA GROUP,000333.SZ,0300.HK
COMEC,600685.SS,0317.HK
MAANSHAN IRON,600808.SS,0323.HK
SHANGHAI PECHEM,600688.SS,0338.HK
ANGANG STEEL,000898.SZ,0347.HK
JIANGXI COPPER,600362.SS,0358.HK
SINOPEC CORP,600028.SS,0386.HK
CHINA RAILWAY,601390.SS,0390.HK
GUANGSHEN RAIL,601333.SS,0525.HK
SHENZHENEXPRESS,600548.SS,0548.HK
NANJING PANDA,600775.SS,0553.HK
ZCZL,601717.SS,0564.HK
SHANDONG MOLONG,002490.SZ,0568.HK
BEIJING N STAR,601588.SS,0588.HK
SINOTRANS,601598.SS,0598.HK
CHINA EAST AIR,600115.SS,0670.HK
SHANDONG XINHUA,000756.SZ,0719.HK
CHINA TELECOM,601728.SS,0728.HK
AIR CHINA,601111.SS,0753.HK
ZTE,000063.SZ,0763.HK
XINHUA WINSHARE,601811.SS,0811.HK
PETROCHINA,601857.SS,0857.HK
BAIYUNSHAN PH,600332.SS,0874.HK
CNOOC,600938.SS,0883.HK
DONGJIANG ENV,002672.SZ,0895.HK
HUANENG POWER,600011.SS,0902.HK
CONCH CEMENT,600585.SS,0914.HK
CHINA LONGYUAN,001289.SZ,0916.HK
HISENSE HA,000921.SZ,0921.HK
CCB,601939.SS,0939.HK
CHINA MOBILE,600941.SS,0941.HK
CHINA SUNTIEN,600956.SS,0956.HK
SMIC,688981.SS,0981.HK
DATANG POWER,601991.SS,0991.HK
ANHUIEXPRESSWAY,600012.SS,0995.HK
CITIC BANK,601998.SS,0998.HK
SINOPEC SSC,600871.SS,1033.HK
CHONGQING IRON,601005.SS,1053.HK
CHINA SOUTH AIR,600029.SS,1055.HK
ZHEJIANG SHIBAO,002703.SZ,1057.HK
TIANJIN CAPITAL,600874.SS,1065.HK
HUADIAN POWER,600027.SS,1071.HK
DONGFANG ELEC,600875.SS,1072.HK
CHINA SHENHUA,601088.SS,1088.HK
TRIUMPH NEW EN,600876.SS,1108.HK
COSCO SHIP ENGY,600026.SS,1138.HK
ZOOMLION,000157.SZ,1157.HK
YANKUANG ENERGY,600188.SS,1171.HK
CHINA RAIL CONS,601186.SS,1186.HK
BYD COMPANY,002594.SZ,1211.HK
ABC,601288.SS,1288.HK
DYNAGREEN ENV,601330.SS,1330.HK
NCI,601336.SS,1336.HK
PICC GROUP,601319.SS,1339.HK
HUA HONG SEMI,688347.SS,1347.HK
FUDANZHANGJIANG,688505.SS,1349.HK
CC SECURITIES,601375.SS,1375.HK
SHANGHAI FUDAN,688385.SS,1385.HK
ICBC,601398.SS,1398.HK
GLMS SEC,601456.SS,1456.HK
LIVZON PHARMA,000513.SZ,1513.HK
RS MACALLINE,601828.SS,1528.HK
MCC,601618.SS,1618.HK
DZUG,600635.SS,1635.HK
PSBC,601658.SS,1658.HK
CRRC,601766.SS,1766.HK
GANFENGLITHIUM,002460.SZ,1772.HK
GF SEC,000776.SZ,1776.HK
SD GOLD,600547.SS,1787.HK
CHINA COMM CONS,601800.SS,1800.HK
CHENMING PAPER,000488.SZ,1812.HK
CGN POWER,003816.SZ,1816.HK
CHUNLI MEDICAL,688236.SS,1858.HK
JUNSHI BIO,688180.SS,1877.HK
CTG DUTY-FREE,601888.SS,1880.HK
CHINA COAL,601898.SS,1898.HK
COSCO SHIP HOLD,601919.SS,1919.HK
BCQ,601963.SS,1963.HK
MINSHENG BANK,600016.SS,1988.HK
BBMG,601992.SS,2009.HK
CZBANK,601916.SS,2016.HK
CIMC,000039.SZ,2039.HK
CHALIECO,601068.SS,2068.HK
FOSUN PHARMA,600196.SS,2196.HK
CHINA VANKE,000002.SZ,2202.HK
GOLDWIND,002202.SZ,2208.HK
ANDRE JUICE,605198.SS,2218.HK
GAC GROUP,601238.SS,2238.HK
PING AN,601318.SS,2318.HK
GWMOTOR,601633.SS,2333.HK
WEICHAI POWER,000338.SZ,2338.HK
WUXI APPTEC,603259.SS,2359.HK
SINOHYTEC,688339.SS,2402.HK
LOPAL TECH,603906.SS,2465.HK
CHALCO,601600.SS,2600.HK
CPIC,601601.SS,2601.HK
SH PHARMA,601607.SS,2607.HK
GTHT,601211.SS,2611.HK
CHINA LIFE,601628.SS,2628.HK
SH ELECTRIC,601727.SS,2727.HK
COSCO SHIP DEV,601866.SS,2866.HK
LIAONING PORT,601880.SS,2880.HK
CHINA OILFIELD,601808.SS,2883.HK
ZIJIN MINING,601899.SS,2899.HK
BANKCOMM,601328.SS,3328.HK
TIGERMED,300347.SZ,3347.HK
QHD PORT,601326.SS,3369.HK
FUYAO GLASS,600660.SS,3606.HK
CQRC BANK,601077.SS,3618.HK
HOLLY FUTURES,001236.SZ,3678.HK
CATL,300750.SZ,3750.HK
PHARMARON,300759.SZ,3759.HK
BQD,002948.SZ,3866.HK
TIMES ELECTRIC,688187.SS,3898.HK
CICC,601995.SS,3908.HK
DFZQ,600958.SS,3958.HK
CM BANK,600036.SS,3968.HK
CHINA CRSC,688009.SS,3969.HK
BANK OF CHINA,601988.SS,3988.HK
CMOC,603993.SS,3993.HK
CH ENERGY ENG,601868.SS,3996.HK
CITIC SEC,600030.SS,6030.HK
CSC,601066.SS,6066.HK
CMSC,600999.SS,6099.HK
JOINN,603127.SS,6127.HK
BEONE MEDICINES,688235.SS,6160.HK
EB SECURITIES,601788.SS,6178.HK
CANSINOBIO,688185.SS,6185.HK
BANKOFZHENGZHOU,002936.SZ,6196.HK
QINGDAO PORT,601298.SS,6198.HK
HX BLDG MAT,600801.SS,6655.HK
JLMAG,300748.SZ,6680.HK
HAIER SMARTHOME,600690.SS,6690.HK
SWHY,000166.SZ,6806.HK
CEB BANK,601818.SS,6818.HK
ASYMCHEM,002821.SZ,6821.HK
HAOHAI BIOTEC,688366.SS,6826.HK
FLAT GLASS,601865.SS,6865.HK
YOFC,601869.SS,6869.HK
CGS,601881.SS,6881.HK
HTSC,601688.SS,6886.HK
TIANQI LITHIUM,002466.SZ,9696.HK
INNOCARE,688428.SS,9969.HK
HEPALINK,002399.SZ,9989.HK
REMEGEN,688331.SS,9995.HK
