company,A,H,n_obs,ADV_A,ADV_H,prem_std,half_life
FIRST TRACTOR,601038.SS,0038.HK,1929,127850629.877477,17586774.53241115,1.2802204140914546,141.24037766298144
SICHUAN EXPRESS,601107.SS,0107.HK,1929,48348983.5580315,5374120.252924518,0.5185096966361701,234.08373847761146
TSINGTAO BREW,600600.SS,0168.HK,1929,428018022.11339694,183497337.64205885,0.17620359665250196,50.80325292306918
JIANGSU EXPRESS,600377.SS,0177.HK,1929,75401458.35552399,28427313.794650503,0.2050703908819505,90.78379155066467
JINGCHENG MAC,600860.SS,0187.HK,1929,150703919.4413796,17711484.64545812,0.9885660778192666,62.2067097358406
MIDEA GROUP,000333.SZ,0300.HK,535,2440485085.5700226,348221999.961796,8.658143340964783,33.66455716957309
COMEC,600685.SS,0317.HK,1929,348864635.35701483,31988750.838343,0.6667324248188207,95.5371186952223
MAANSHAN IRON,600808.SS,0323.HK,1929,197328319.11669984,25140550.255853727,0.3464572635771294,106.8424184334867
SHANGHAI PECHEM,600688.SS,0338.HK,1929,115689295.155662,23968144.134716656,0.31575752221175135,47.08341402107693
ANGANG STEEL,000898.SZ,0347.HK,1929,129714895.34447242,33900300.73400538,0.26290330436011883,104.13505238538167
JIANGXI COPPER,600362.SS,0358.HK,1929,769642011.8486822,174188822.628441,0.23706917268881397,72.40254693993545
SINOPEC CORP,600028.SS,0386.HK,1929,684108391.7087226,403263480.26694113,0.10253742416822427,25.93733491848643
CHINA RAILWAY,601390.SS,0390.HK,1929,598674142.2289212,82176275.22675256,0.18692594088145378,55.12915345179185
GUANGSHEN RAIL,601333.SS,0525.HK,1929,124935417.36622456,11620337.380715186,0.21526191404489906,58.22050500032809
SHENZHENEXPRESS,600548.SS,0548.HK,1929,38831186.33849114,14705900.472969351,0.16468869179010415,58.04778124622564
NANJING PANDA,600775.SS,0553.HK,1929,270377833.89734524,26423117.977970038,0.9251300191401933,99.65933016109445
ZCZL,601717.SS,0564.HK,1929,257304104.0757374,16894079.23264959,0.3557677247012762,91.82153312377876
SHANDONG MOLONG,002490.SZ,0568.HK,1929,138211837.6854641,118437253.5714004,1.4116271153302413,213.29804591896726
BEIJING N STAR,601588.SS,0588.HK,1929,63666844.239893384,4981168.7841590615,0.47731297261855277,123.34453295838408
SINOTRANS,601598.SS,0598.HK,1917,136842515.98538354,20306410.539993532,0.4415475844894614,119.06033477124694
CHINA EAST AIR,600115.SS,0670.HK,1929,305718059.71359557,43175526.551882885,0.2779631036868343,93.26354069793067
SHANDONG XINHUA,000756.SZ,0719.HK,1929,284078150.2924894,22235995.212958887,0.9873920983094545,108.83816640078476
CHINA TELECOM,601728.SS,0728.HK,1262,907797266.0392737,274087317.57274395,0.24350681532637136,39.79011528006299
AIR CHINA,601111.SS,0753.HK,1929,494620491.2653653,106383396.99218617,0.24872836464525372,84.17825199256576
ZTE,000063.SZ,0763.HK,1929,3196565746.096041,316256311.15137035,0.18548543593177644,31.591104992152054
XINHUA WINSHARE,601811.SS,0811.HK,1929,46630949.58028663,5616994.8710497795,0.6041350833089477,133.45727819784653
PETROCHINA,601857.SS,0857.HK,1929,957722478.5995466,512400512.93736833,0.3404324588978137,173.19144288101535
BAIYUNSHAN PH,600332.SS,0874.HK,1929,277974298.7362377,23669609.797358252,0.1645456345113723,46.68273194225868
CNOOC,600938.SS,0883.HK,1093,1201881361.1305106,1454007408.9507096,0.17797424870126408,52.35124141261609
DONGJIANG ENV,002672.SZ,0895.HK,1929,45470017.98938727,5796427.136845278,0.4366185550790063,85.97578081858002
