company,beta,pvalue
TSINGTAO BREW,1.97917795650987,0.0017617836342954116
MIDEA GROUP,0.24139997657475723,0.875523481704643
JIANGXI COPPER,1.2504051304258632,0.003007633381004134
SINOPEC CORP,1.4866185059083892,0.004781932811818501
CHINA RAILWAY,0.990708978957469,0.04541189906229802
SHANDONG MOLONG,0.8820963792044252,0.10140689232382716
CHINA TELECOM,1.1125401013298342,0.12777179609470557
AIR CHINA,0.8107345236532276,0.15817530824826925
ZTE,1.182736065912683,0.010328159652173954
PETROCHINA,1.0617810273095605,0.004124337496650179
CNOOC,1.3788055164746011,0.041107676688236706
HUANENG POWER,1.076433754191442,0.3459668812693939
CONCH CEMENT,1.0772440012843476,0.07421111918689179
CHINA LONGYUAN,0.7854318413754754,0.01462253959989278
CCB,1.2215447073922325,0.00484112336637669
CHINA MOBILE,1.168928793848395,0.3482854226174689
SMIC,1.5839450398967299,0.0011334996069434354
CITIC BANK,0.8922273116364182,0.043457643110216285
CHINA SOUTH AIR,0.8881298884328173,0.003278123205140576
DONGFANG ELEC,0.9603557554885949,0.03822932738642364
CHINA SHENHUA,1.0920734419925773,0.05210197064529303
COSCO SHIP ENGY,1.248027228578732,0.13229653322954188
ZOOMLION,0.9152824374155129,0.2184833598023294
YANKUANG ENERGY,1.520788918251553,0.32357741072669605
CHINA RAIL CONS,0.650894281898841,0.0033229123792642775
BYD COMPANY,1.0385834403568253,0.2666817352314177
ABC,1.324990373314754,0.008831884070363066
NCI,1.1528527250076879,0.08708252021710622
PICC GROUP,0.7692954065809394,0.07870730328463682
HUA HONG SEMI,1.7837339258338818,0.6557385553924695
SHANGHAI FUDAN,1.4323965448715132,0.29838778402679733
ICBC,1.2900558109139866,0.04931795350978665
PSBC,0.8567042695124544,0.01616996345891704
CRRC,0.8166137400117832,0.041935705280182395
GANFENGLITHIUM,1.2594151510133154,0.00023607027038053012
GF SEC,0.932519946329796,0.020355891762802763
SD GOLD,0.9707841440435077,0.015774295885188947
CHINA COMM CONS,1.120503264463091,0.15085878822170568
CGN POWER,1.052353882723255,8.501667925909441e-06
JUNSHI BIO,1.3615958753640207,4.196830901866469e-05
CTG DUTY-FREE,1.0345413418351834,1.2608774345892738e-08
CHINA COAL,1.2788047428290334,0.062295958796993865
COSCO SHIP HOLD,1.079315628898339,0.3841584574848836
MINSHENG BANK,0.6616377179631612,0.25300754191824104
FOSUN PHARMA,1.4386853658466303,0.03442398615290392
CHINA VANKE,1.070961745334675,0.10433390726156061
GOLDWIND,1.1879331163108735,0.6953049353476561
GAC GROUP,1.278287014371421,0.18879681160951522
PING AN,0.9582993981090899,0.012639636089063776
GWMOTOR,2.116915652266008,0.4752655319330484
WEICHAI POWER,0.8504155075464164,0.0373111919792459
WUXI APPTEC,0.944374481359555,0.08650864787921975
CHALCO,1.0143225820047825,0.06247860368108963
CPIC,1.01785371443239,0.002008991577554078
GTHT,0.7682774454848769,0.00048353035964409556
CHINA LIFE,0.8314160853236399,0.023471128233275962
SH ELECTRIC,2.174716657741808,0.006561268445482276
CHINA OILFIELD,1.1670080276734551,0.01759980913630948
ZIJIN MINING,1.0190073131181603,0.008072729088929446
BANKCOMM,1.0936475987494376,0.1494955872115794
TIGERMED,1.051565608412665,0.011055131858764274
FUYAO GLASS,1.0164551668113633,0.06160128335346179
HOLLY FUTURES,-0.10567022255611541,0.09787272563203958
PHARMARON,1.1770186370166926,0.05003895415829799
TIMES ELECTRIC,1.1059264105700994,0.04286610394600537
CICC,0.9357440689347528,0.3398443050584665
CM BANK,0.7895709035748908,0.019733282531234533
BANK OF CHINA,1.2751174164686818,0.004708619855316805
CMOC,1.0828813176543093,0.03355538960645127
CITIC SEC,0.7169375601530106,0.009529607759957629
CSC,0.7664827111346704,0.05749946757409378
CMSC,0.5723622746691313,0.05531884100108536
JOINN,1.4496809190376152,0.03771733879611141
BEONE MEDICINES,1.8510932707809478,0.012184119480293147
CANSINOBIO,1.8317816932336468,3.4159757706956897e-06
JLMAG,1.5238317367938212,0.05145625064202067
HAIER SMARTHOME,1.173349416159594,1.8911614237750102e-05
FLAT GLASS,1.4967692253642595,0.0018355336189723034
YOFC,2.08593658974489,0.1335658270440916
CGS,1.0885259604101516,0.0010803474603866168
HTSC,0.8656693538914635,0.05144359989937185
TIANQI LITHIUM,1.6463844025482803,0.028724282815806357
INNOCARE,1.7980640712313338,0.5410955978321835
REMEGEN,1.1207993142390593,0.7938301041700462
